no;trial;author;year;tpos;tneg;cpos;cneg;ablat;alloc;study;group;out1;out2;yi;vi
1;1;Aronson;1948;4;119;11;128;44;random;1;1;4;119;-3.392829132;0.258403361
2;1;Aronson;1948;4;119;11;128;44;random;1;2;11;128;-2.454134991;0.098721591
3;2;Ferguson & Simes;1949;6;300;29;274;55;random;2;1;6;300;-3.912023005;0.17
4;2;Ferguson & Simes;1949;6;300;29;274;55;random;2;2;29;274;-2.245832276;0.038132394
5;3;Rosenthal et al;1960;3;228;11;209;42;random;3;1;3;228;-4.33073334;0.337719298
6;3;Rosenthal et al;1960;3;228;11;209;42;random;3;2;11;209;-2.944438979;0.09569378
7;4;Hart & Sutherland;1977;62;13536;248;12619;52;random;4;1;62;13536;-5.385973697;0.016202909
8;4;Hart & Sutherland;1977;62;13536;248;12619;52;random;4;2;248;12619;-3.929530147;0.004111504
9;5;Frimodt-Moller et al;1973;33;5036;47;5761;13;alternate;5;1;33;5036;-5.027859834;0.030501601
10;5;Frimodt-Moller et al;1973;33;5036;47;5761;13;alternate;5;2;47;5761;-4.808718748;0.021450177
11;6;Stein & Aronson;1953;180;1361;372;1079;44;alternate;6;1;180;1361;-2.023018152;0.006290309
12;6;Stein & Aronson;1953;180;1361;372;1079;44;alternate;6;2;372;1079;-1.064896111;0.003614956
13;7;Vandiviere et al;1973;8;2537;10;619;19;random;7;1;8;2537;-5.759296018;0.125394166
14;7;Vandiviere et al;1973;8;2537;10;619;19;random;7;2;10;619;-4.12552018;0.101615509
15;8;TPT Madras;1980;505;87886;499;87892;13;random;8;1;505;87886;-5.15923737;0.001991576
16;8;TPT Madras;1980;505;87886;499;87892;13;random;8;2;499;87892;-5.171257971;0.002015386
17;9;Coetzee & Berjak;1968;29;7470;45;7232;27;random;9;1;29;7470;-5.551354448;0.034616627
18;9;Coetzee & Berjak;1968;29;7470;45;7232;27;random;9;2;45;7232;-5.079608412;0.022360497
19;10;Rosenthal et al;1961;17;1699;65;1600;42;systematic;10;1;17;1699;-4.604581778;0.059412111
20;10;Rosenthal et al;1961;17;1699;65;1600;42;systematic;10;2;65;1600;-3.203371638;0.016009615
21;11;Comstock et al;1974;186;50448;141;27197;18;systematic;11;1;186;50448;-5.602951708;0.005396166
22;11;Comstock et al;1974;186;50448;141;27197;18;systematic;11;2;141;27197;-5.262102062;0.007128967
23;12;Comstock & Webster;1969;5;2493;3;2338;33;systematic;12;1;5;2493;-6.211804171;0.200401123
24;12;Comstock & Webster;1969;5;2493;3;2338;33;systematic;12;2;3;2338;-6.658438853;0.333761049
25;13;Comstock et al;1976;27;16886;29;17825;33;systematic;13;1;27;16886;-6.438403289;0.037096258
26;13;Comstock et al;1976;27;16886;29;17825;33;systematic;13;2;29;17825;-6.421061415;0.03453886
